1_rating,0_rating,result
1322,1261,0
1413,2108,0
1439,1392,0
1381,1867,0
1381,1936,0
1381,1607,0
1141,1094,0
1094,1141,0
1141,1094,0
1094,1300,0
1094,1676,0
1113,1423,0
1328,1038,0
1056,1156,0
1077,1148,0
1358,1036,0
1200,1002,0
1019,1500,0
976,1832,0
978,1500,0
1241,978,0
978,1500,0
978,1500,0
1500,978,0
1414,1442,0
1457,1294,0
1207,1579,0
1578,1605,0
1618,1568,0
1500,1554,0
1563,1335,0
1579,1470,0
1207,1588,0
1595,1547,0
1579,2105,0
1768,1560,0
1251,1545,0
1543,1593,0
1556,1539,0
1409,1548,0
1546,1877,0
1134,1535,0
1735,1806,0
1597,1728,0
1744,1735,0
1749,1631,0
1769,1396,0
1795,1760,0
1795,1784,0
1783,1721,0
1884,1768,0
1756,1756,0
2036,1706,0
1244,1219,0
1350,1201,0
1210,1280,0
1220,1341,0
1234,1359,0
1275,1236,0
1132,1276,0
1228,1266,0
1273,1409,0
1335,1233,0
1443,1204,0
1212,1221,0
1226,1478,0
1228,1626,0
1422,1210,0
1228,1343,0
1861,1844,0
1860,1840,0
1847,1856,0
1840,1837,0
1848,1806,0
1860,1820,0
1854,1849,0
1866,1965,0
1835,1866,0
1877,1860,0
1835,1865,0
1834,1835,0
1845,1917,0
1858,1790,0
1871,1847,0
1846,1869,0
1843,1836,0
1800,1826,0
1283,1267,0
1290,1270,0
1305,1293,0
1296,1305,0
968,1305,0
1293,1466,0
1289,2108,0
1431,1289,0
1289,1484,0
1289,1810,0
1806,1289,0
1211,1280,0
1281,1765,0
1288,1454,0
1560,1270,0
1274,1534,0
1614,1238,0
1222,1732,0
1384,1325,0
1384,1265,0
1384,1950,0
1261,1371,0
1380,1429,0
1474,1387,0
1389,1339,0
1389,1400,0
1395,1378,0
1245,1346,0
1555,1580,0
1649,1547,0
1426,1527,0
1557,1547,0
1607,1557,0
1713,1558,0
1355,1478,0
1865,1613,0
1776,1587,0
1605,1546,0
1538,1501,0
1511,1516,0
1464,1495,0
1490,1440,0
1611,1945,0
1584,1611,0
1942,1611,0
1217,1611,0
1486,1552,0
1571,1577,0
1580,1617,0
1550,1605,0
1630,1605,0
1475,1605,0
1475,1605,0
1605,1500,0
1513,1605,0
1496,1861,0
1620,1607,0
1621,1496,0
1633,1581,0
1623,1623,0
1631,1684,0
1636,1619,0
1613,1617,0
1627,1495,0
1414,1624,0
1629,1659,0
1677,1627,0
1647,1635,0
1602,1615,0
1634,1603,0
1611,1591,0
1589,1569,0
1660,1549,0
1841,1921,0
1629,1887,0
1860,1712,0
1780,2132,0
966,1124,0
884,951,0
945,1070,0
971,1149,0
974,1129,0
998,937,0
1016,1126,0
1047,1151,0
998,1016,0
1069,1071,0
1115,1223,0
1190,1213,0
1500,1500,0
1367,1866,0
1377,1667,0
1558,1358,0
1376,1469,0
1373,2148,0
1500,1395,0
1320,1400,0
1469,1357,0
959,1357,0
1563,1498,0
1921,1451,0
1728,1500,0
1570,1611,0
1560,1580,0
1727,1574,0
1579,1841,0
1877,1558,0
1590,1515,0
1675,1505,0
1547,1491,0
1507,1399,0
1482,1484,0
1486,1909,0
1488,2192,0
1500,1501,0
1509,1487,0
1495,1771,0
1546,1621,0
1354,1631,0
1639,1813,0
1646,1795,0
1657,1678,0
1683,1599,0
1769,1659,0
1668,1761,0
1688,1743,0
1676,1680,0
1142,1679,0
1154,1676,0
1102,1685,0
1493,1678,0
1709,1681,0
1692,1699,0
1703,1943,0
1694,1692,0
1572,1688,0
1392,1684,0
1707,1696,0
1733,1672,0
1746,1712,0
1295,1240,0
1302,1248,0
1314,1270,0
1321,1451,0
1450,1303,0
1300,1330,0
1209,1291,0
1299,1418,0
1318,1366,0
1345,1187,0
1352,1149,0
1331,1382,0
1270,1299,0
1007,1268,0
1178,1346,0
1273,1160,0
1167,1122,0
1250,1156,0
1164,1263,0
1173,1251,0
1089,1165,0
1178,1391,0
1030,1162,0
1176,1118,0
1034,1149,0
1042,1133,0
1070,1112,0
1114,1027,0
1133,1234,0
981,1127,0
1126,1054,0
1147,908,0
914,1141,0
1984,1948,0
1954,2158,0
1954,2008,0
2008,1954,0
1954,2008,0
1974,1899,0
1964,2287,0
2149,1933,0
1599,1929,0
1882,1919,0
1699,1914,0
1916,2285,0
1936,1638,0
1758,1929,0
2050,1627,0
1627,2050,0
2050,1627,0
1627,2050,0
1981,2050,0
2050,1981,0
1164,1901,0
1245,1228,0
1287,1099,0
1500,1834,0
1456,1604,0
1378,1318,0
1500,1487,0
1731,2127,0
1739,1840,0
1760,1718,0
1707,1712,0
1170,1662,0
1100,1590,0
1302,875,0
2306,2405,0
2422,2386,0
2373,2356,0
2325,2338,0
1879,2326,0
1622,2322,0
1933,2318,0
1983,2313,0
1866,2309,0
1835,2307,0
1909,2271,0
1293,2263,0
2191,2239,0
1380,2239,0
1796,2235,0
1879,2230,0
2336,2185,0
1976,2135,0
1830,2126,0
2001,2105,0
1918,2086,0
1774,2071,0
1778,2059,0
1783,2045,0
1788,2029,0
1701,2100,0
1931,2061,0
1394,1512,0
1479,1381,0
1372,1360,0
1209,1265,0
1221,1820,0
1528,1369,0
1263,1264,0
1906,1834,0
1841,2015,0
1467,1478,0
1500,1478,0
1453,1466,0
1466,1744,0
1479,1454,0
1454,1421,0
1387,1457,0
1417,1447,0
1455,1081,0
1318,1448,0
1448,1436,0
1308,1441,0
1708,1851,0
1960,2260,0
1969,2247,0
1325,1174,0
1325,1500,0
1353,1068,0
1131,1347,0
1197,1340,0
1163,1340,0
1362,976,0
1375,1334,0
1030,1352,0
2035,1352,0
1810,1495,0
1783,1797,0
1645,1806,0
1602,1791,0
1415,1788,0
1815,1889,0
1830,1809,0
1856,1903,0
2220,2464,0
1973,2462,0
2104,2456,0
2301,2449,0
2306,2438,0
2255,2425,0
2208,2421,0
2083,2415,0
2281,2400,0
2015,2397,0
1426,1371,0
1437,1476,0
1689,1670,0
1695,1923,0
1706,1698,0
1728,1723,0
1648,1719,0
1648,1710,0
1732,1768,0
1433,1737,0
1605,1698,0
1622,1681,0
1702,1681,0
1707,1699,0
1735,1733,0
1744,1801,0
1854,1730,0
1705,1719,0
1651,1684,0
1713,1709,0
1724,1734,0
1730,1882,0
1680,1789,0
1711,1760,0
1374,1613,0
1821,1842,0
1512,1821,0
1832,1821,0
1500,1821,0
1877,1821,0
1824,1830,0
1858,1730,0
1891,1845,0
1867,1883,0
1922,1851,0
1861,1899,0
1527,1861,0
1878,1698,0
1660,1873,0
1707,1873,0
1853,1853,0
1882,1840,0
1704,1824,0
1841,1688,0
1695,1834,0
1851,1679,0
1527,1882,0
1527,1882,0
1500,1901,0
1533,1897,0
1545,1890,0
1552,1887,0
1961,2215,0
1803,2215,0
1807,2205,0
1805,2195,0
2189,2167,0
2051,2147,0
1500,2098,0
2151,2029,0
2143,1916,0
1547,1891,0
1950,1926,0
1560,1713,0
1540,1540,0
1550,1531,0
1435,1543,0
1545,1554,0
1544,1523,0
1369,1553,0
1553,1542,0
1529,1534,0
1546,1517,0
2105,1929,0
857,1057,0
857,958,0
901,1339,0
922,1120,0
989,791,0
1026,1121,0
1057,1240,0
1057,1341,0
1155,1484,0
1222,1351,0
1500,1409,0
1950,1885,0
2036,1706,0
1795,2036,0
1675,2008,0
1458,1980,0
2102,1967,0
1647,1566,0
1668,1642,0
1500,1412,0
1887,1760,0
1297,1500,0
1297,1230,0
1625,1754,0
1719,1625,0
1625,1657,0
1862,1358,0
1807,1862,0
1862,1387,0
1474,1862,0
1862,1807,0
1862,1690,0
1884,1862,0
1396,1862,0
1862,2203,0
1862,1722,0
1862,1500,0
1862,1513,0
1500,1862,0
1862,1449,0
1862,1500,0
1862,1769,0
1701,1862,0
1862,1701,0
1699,1862,0
1862,1579,0
1862,1416,0
1862,2073,0
1972,1952,0
1553,1942,0
1236,1941,0
1670,1692,0
1705,1712,0
1712,2015,0
1712,1832,0
1712,1615,0
1712,1708,0
1860,1712,0
2108,1712,0
